title,author_dates,author,author_viaf,author_viaf_id,edition,editor,publisher,pub_place,pub_date,series_title,series_id,source,work_id,prelemmatized,notes
Epistola,,Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1850,"Patrologia Latina, vol. 89",AucInc.Episto137,Patrologia Latina,8356,True,
Epistolae et privilegia,1075-1106,Hugo Lugdunensis,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 157",HugLug.EpEtPr21,Patrologia Latina,10589,True,
Quaestiones in Veterum Testamentum,565-636,Isidorus Hispalensis,http://viaf.org/viaf/803890,803890,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1850,"Patrologia Latina, vol. 83",IsiHis.QuInVeT,Patrologia Latina,21433,True,
Corpus Scriptorum Ecclesiasticorum Latinorum (CSEL),,,,,,,University of Leipzig,Germany,2014,,,,14974,True,
Historia Hierosolymitana,sine-data,Robertus S. Remigii,http://viaf.org/viaf/266020640,266020640,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 155",RoSRe.HisHie,Patrologia Latina,10564,True,
In adventu Domini,1110–1167,Aelredus Rievallensis,http://viaf.org/viaf/39386818,39386818,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 184",AelRie.InAdDo,Patrologia Latina,11261,True,
Acta,c.960–1025,Concilium in Salegunstat habitum; Burchardus Wormaciensis,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 140",CoInSaH.Acta14,Patrologia Latina,9831,True,
Liber comitis,,Auctor incertus (Hieronymus Stridonensis?),,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1846,"Patrologia Latina, vol. 30",AuInHiS.LibCom,Patrologia Latina,7260,True,
Poema conjugis ad uxorem,,Auctor incertus (Prosper Aquitanus?),,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1846,"Patrologia Latina, vol. 51",AuInPrA.PoCoAdU,Patrologia Latina,7565,True,
Excerptum in gestis pontificum S. Virdunensis ecclesiae,fl. 915,Bertarius Virdunensis,http://viaf.org/viaf/59476707,59476707,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 132",BerVir.ExInGeP,Patrologia Latina,9360,True,
Fragmentum Statutorum Canonicorum Turonensium,,Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 138",AucInc.FrStCaT,Patrologia Latina,9616,True,
Magnifico et prestantissimo domino Wilibaldo Pirckheymer,1466-1532,"Banisius, Jacobus",http://viaf.org/viaf/305484971,305484971,"early modern edition, no apparatus",Neven Jovanović,,,Kolovoza 2012,,BanJac.MaEtPre,,13373,True,
Vita S. Licinii,1035-1123,Marbodus Redonensis,http://viaf.org/viaf/241082057,241082057,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 171",MarRed.ViSLi2,Patrologia Latina,10965,True,
Carmina dubia,1424-1498,"Landino, Cristoforo",http://viaf.org/viaf/42629956,42629956,"critical edition, apparatus not encoded","A. Perosa, 1939",,,,Musisque Deoque 2007,LanCri.Cadu,,19873,True,
Opera,-1050,Wipo Presbyter,,,"critical edition, no apparatus","Bresslau, Harry",Hahn,Hannover,1915,,WipPre.Opera,,16869,True,
Isagogicon,1496-1575,"Muzio, Girolamo",http://viaf.org/viaf/61649387,61649387,"critical edition, apparatus not encoded","S. Di Brazzano, 1999",,,,Musisque Deoque 2007,MuzGir.Isag,,20193,True,
Epigrammata,1547-1630,"Cancianini, Gian Domenico",http://viaf.org/viaf/180488070,180488070,"critical edition, apparatus not encoded","Graziella Marino, tesi di laurea Università degli studi di Trieste, 1970-1971",,,,Musisque Deoque 2007,CanGia.Epig,,20043,True,
De dialectica,730-804,Alcuinus,http://viaf.org/viaf/96533523,96533523,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1851,"Patrologia Latina, vol. 101",Alcuin.DeDia,Patrologia Latina,8694,True,
Epistola,1325-1382?,"Broaspini, Gasparo Scuaro",,,"critical edition, apparatus not encoded","C. Garibotto, 1931",,,,Musisque Deoque 2007,BroGas.Epis,,20089,True,
De fato et fortuna,1331-1406,"Salutati, Coluccio",http://viaf.org/viaf/61554735,61554735,"critical edition, apparatus not encoded","Concetta Bianca, 1985",,,,Musisque Deoque 2007,SalCol.Deetfo,,19946,True,
Disputatio de somnio Scipionis,fl.c.400,Favonius Eulogius,http://viaf.org/viaf/28547729,28547729,"based on critical edition, no apparatus, online edition",Source with summary and bibliography,digilibLT,Vercelli,2014,digilibLT,FavEul.DiDeSom,,14373,True,
Dictum Rheticii de baptismo,354-430,Augustinus Hipponensis,http://viaf.org/viaf/66806872,66806872,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1844,"Patrologia Latina, vol. 6",AugHip.DiRhDeB,Patrologia Latina,6805,True,
Carmina sacra et preces,1007-1072,Petrus Damianus,http://viaf.org/viaf/50018008,50018008,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 145",PetDam.CaSaEtP2,Patrologia Latina,10065,True,
Epistolae dubiae,,Auctor incertus (Cornelius papa?),,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1844,"Patrologia Latina, vol. 3",AuInCoP.EpiDub,Patrologia Latina,79,True,
Epistolae,,Haiminius S. Vedasti Atrebatensis,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1831,"Patrologia Latina, vol. 105",HaSVeAt.Episto173,Patrologia Latina,8836,True,
Tractatus inpersonalium,-c.1327,Iohannes de Virgilio,http://viaf.org/viaf/277381397,277381397,,Print edition by: G. C. Alessio,,,1981,,IohVir.TraInpe,,15662,True,"['Genere: Grammatica', 'Tipo: Fonti Letterarie', 'Note: Caratteri 7487\r\nParole 1274\r\nI trattati grammaticali sono conservati nel\n\t\t\t\t\t                    codice Siviglia, Biblioteca Capitular y Colombina 81-6-6.\r\n Le <> indicano una\n\t\t\t\t                    congettura dell’editore; le ( ) una integrazione.\r\nE. B.', 'Livello di codifica: 1']"
Prolegomena,c.1005–1045,Bruno Herbipolensis,http://viaf.org/viaf/249875035,249875035,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 142",BruHer.Proleg80,Patrologia Latina,9940,True,
De obsidione,1261-1329,"Mussato, Albertino",http://viaf.org/viaf/2636158,2636158,"critical edition, apparatus not encoded","G. Gianola, 2000",,,,Musisque Deoque 2007,MusAlb.Deob,,19966,True,
Fragmentum libri de orthographia,c.1195-c.1272,Joannes de Garlandia,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 150",JoDeGa.FrLiDeO,Patrologia Latina,10361,True,
Reuerendo in Christo Domino Iacobo Grassolario [1507-04-04],1450-1524,"Marulus Spalatensis, Marcus",http://viaf.org/viaf/19697406,19697406,"early modern edition, no apparatus",Branimir Glavičić,,,Lipnja 2009.,,MarMar.ReI0404,"Digitalni tekstovi prema Colloquia Maruliana, priredio Marulianum. Adresa:",13439,True,
Miletii versus,c. 1340,Miletius,,,"early modern edition, no apparatus",Stjepan Krasić,,,veljače 2010,,Mileti.MiVersu,"Excerpta e: Serafin Marija Crijević (Seraphinus Maria Cerva), Bibliotheca Ragusina in qua Ragusini scriptores eorumque gesta et scripta recensentur, 4 sv., izd. , Zagreb : Jugoslavenska akademija znanosti i umjetnosti , 1975-1980, sv. 2, s. 487-488. .",13377,True,
Praefatio,925–961,Atto Vercellensis,http://viaf.org/viaf/189299695,189299695,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 134",AttVer.Praefa149,Patrologia Latina,9441,True,
Excerpta libri Revelationum,,Audradus Senonensis,http://viaf.org/viaf/296641281,296641281,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1852,"Patrologia Latina, vol. 115",AudSen.ExLiRe,Patrologia Latina,9037,True,
Vita S. Basoli,c.910-c.992,Adso Dervensis,http://viaf.org/viaf/46730530,46730530,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 137",AdsDer.ViSBa2,Patrologia Latina,9513,True,['XML corrections by Jan Ctibor in 2023: isolated heads moved to corresponding divs']
Carmen paraeneticum,,Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 184",AucInc.CarPar,Patrologia Latina,11279,True,
De triumpho stultitiae,1450-1523,"Perisauli, Faustino",http://viaf.org/viaf/89268726,89268726,"critical edition, apparatus not encoded","A. Viviani, G. Fabbri, 1963",,,,Musisque Deoque 2007,PerFau.Detrst,,19976,True,
Collectanea,1073-1085,Anselmus Lucensis,http://viaf.org/viaf/265853214,265853214,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 149",AnsLuc.Collec3,Patrologia Latina,10275,True,['XML corrections by Jan Ctibor in 2023: isolated heads moved to corresponding divs']
Libelli,c.1070-1132,Goffridus Vindocinensis,http://viaf.org/viaf/2823688,2823688,"critical edition, no apparatus",Ernst Dümmler,Hahn,Hannover,1892,,GofVin.Libell,,16840,True,
De celebratione Paschae,672-735,Beda,http://viaf.org/viaf/61539765,61539765,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1850,"Patrologia Latina, vol. 90",Beda.DeCePa,Patrologia Latina,8441,True,
Expositio versus Genesis,,Auctor incertus (Beda?),,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1850,"Patrologia Latina, vol. 93",AuInBe.ExVeGe,Patrologia Latina,8478,True,
Historia seu cronica Salonitanorum atque Spalatinorum pontificum,1200-1268,Archidiaconus Thomas,http://viaf.org/viaf/48443089,48443089,"mense Augusto, 2008.",Olga Perić,,,kolovoz 2008,,ArcTho.HiSeCro,,13350,True,
Ethica Eudemia,384BC–322BC,Aristoteles,http://viaf.org/viaf/7524651,7524651,,,,,,,Aristo.EthEudemGR,,21279,True,"['Text was scanned at St. Olaf Spring, 1992.']"
Charta pro fundatione abbatiae Vabrensis,,Raymundus Tolosanus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 132",RayTol.ChPrFuA,Patrologia Latina,9394,True,
Doctrina rebusque gerendis ornatissimo uiro Baptistae Bauiloquae Georgius de Georgiis plurimam salutem dicit,fl. 1400,Georgius de Georgiis,,,"early modern edition, no apparatus",Neven Jovanović,,,Prosinca 2012,,GeoGeo.DoReGer,,13265,True,
Logica nostrorum petitioni sociorum,1079–1142,Petrus Abaelardus,http://viaf.org/viaf/88995118,88995118,,,Aschendorff,Münster,1919-1927,Auctores scientiarum varii,PetAbe.InRom,,11891,True,
Epistola ad Geraldum,,Anastasius monachus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 149",AnaMon.EpAdGe,Patrologia Latina,10273,True,
Preconia Frederici,fl.c.1240,Terrisius de Atina,http://viaf.org/viaf/67202581,67202581,,Print edition by: H. M. Schaller,Böhlau Verlag,Köln,1978,,TerAti.PreFred,,15613,True,"['Genere: Poesia lirica', 'Tipo: Fonti Letterarie', ""Note: Periodo di composizione dell'opera: c. 1237-46.\n\t\t\t\t\tIl testo è stato attribuito, in passato, a Quilichino da Spoleto.\n\t\t\t\t\tParole: 424\n\t\t\t\t\tCaratteri: 2397\n\t\t\t\t\tGCA"", 'Livello di codifica: 1']"
Laches,c.425BC–347BC,Plato,http://viaf.org/viaf/303814984,303814984,,,,,,,Plato.Laches,"Text was scanned at St. Olaf Spring, 1992, by Perseus.",21290,True,
De vita eremitica et probatis eremitis,1007-1072,Petrus Damianus,http://viaf.org/viaf/50018008,50018008,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 145",PetDam.DeViErE,Patrologia Latina,10113,True,
Chronica de principibus terrae Bavarorum,1380-1438,Andreas Ratisbonensis,http://viaf.org/viaf/173900836,173900836,"critical edition, no apparatus","Leidinger, Georg",Hahn,Hannover,1918,,AndRat.ChDePri,,16715,True,
Scala coeli major,-1158,Honorius Augustodunensis,http://viaf.org/viaf/100201145,100201145,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 172",HonAug.ScCoMa,Patrologia Latina,10997,True,
Summa Theologiae,1225-1274,Thomas Aquinas,http://viaf.org/viaf/264344179,264344179,"critical edition, apparatus not encoded",,Textum Leoninum,Romae,1888,Corpus Thomisticum,ThomAqu.ST,,12033,True,
Epistola ad Milonem,,Arnulfus Flandriae,http://viaf.org/viaf/54553866,54553866,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1855,"Patrologia Latina, vol. 179",ArnFla.EpAdMi,Patrologia Latina,11130,True,
De adventu reliquiarum S. Laurentii martyris,1110-1182,Reinerus S. Laurentii Leodiensis,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1855,"Patrologia Latina, vol. 204",ReSLaLe.DeAdReS,Patrologia Latina,11669,True,['XML corrections by Jan Ctibor in 2023: isolated heads moved to corresponding divs']
Epistulae,1489-1544,"Molza, Francesco Maria",http://viaf.org/viaf/21394,21394,"critical edition, apparatus not encoded","P. Serassi, 1747",,,,Musisque Deoque 2007,MolFra.Epis,,20109,True,
De veritate tenenda scripturae,,Remigius Lugdunensis,http://viaf.org/viaf/34803715,34803715,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1852,"Patrologia Latina, vol. 121",RemLug.DeVeTeS,Patrologia Latina,9160,True,
Meditatio in passionem et resurrectionem Domini,,Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 184",AucInc.MeInPaE,Patrologia Latina,11304,True,
De origine et rebus gestis Gothorum,,Jordanus Lemoviclensis,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1848,"Patrologia Latina, vol. 69",JorLem.DeOrEtR,Patrologia Latina,7907,True,
Sermones de Sanctis,c.1130–1203,Martinus Legionensis,http://viaf.org/viaf/122110763,122110763,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1855,"Patrologia Latina, vol. 209",MarLeg.SeDeSa2,Patrologia Latina,11741,True,
Contra Maximianum Arianum,,Cerealis Castellensis,http://viaf.org/viaf/306484303,306484303,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1847,"Patrologia Latina, vol. 58",CerCas.CoMaAr,Patrologia Latina,7662,True,
Acta,fl. 525,Concilium Carthaginense,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1844,"Patrologia Latina, vol. 3",ConCar.Acta,Patrologia Latina,91,True,
De festivitatibus sanctorum,,Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 147",AucInc.DeFeSa,Patrologia Latina,10181,True,
Expositiuncula,-c.860,Sedulius Scotus,http://viaf.org/viaf/3266445,3266445,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1851,"Patrologia Latina, vol. 103",SedSco.Exposi,Patrologia Latina,8766,True,
Lexicon nominum hebraicorum,,Auctor incertus (Origenes?); Hieronymus Stridonensis; Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1845,"Patrologia Latina, vol. 23",AuInOrH.LeNoHe,Patrologia Latina,7143,True,
Fragmentum epistolae,,Auctor incertus (Benedictus I?),,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1849,"Patrologia Latina, vol. 72",AuInBeI.FraEpi,Patrologia Latina,7947,True,
Gesta Alberonis archiepiscopi,,Auctores varii,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 154",AucVar.GeAlAr,Patrologia Latina,10501,True,
De Dalmachio promoto in episcopum Compostellae,c.1042–1099,Urbanus II,http://viaf.org/viaf/152552697,152552697,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 151",UrbIi.DeDaPrI,Patrologia Latina,10460,True,
De peccato originali,-1113,Odo Cameracensis,http://viaf.org/viaf/264871019,264871019,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 160",OdoCam.DePeOr,Patrologia Latina,10699,True,['XML corrections by Jan Ctibor in 2023: isolated heads moved to corresponding divs']
De Spiritus sancti potentia,335-414,Nicetas Aquileiensis,http://viaf.org/viaf/60401117,60401117,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1846,"Patrologia Latina, vol. 52",NicAqu.DeSpSaP,Patrologia Latina,7592,True,
De quadratura circuli,,Franco Leodiensis,http://viaf.org/viaf/59442530,59442530,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 143",FraLeo.DeQuCi,Patrologia Latina,10000,True,
Explanatio Dominicae orationis,,Frowinus Montis Angelorum,http://viaf.org/viaf/267935605,267935605,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1855,"Patrologia Latina, vol. 179",FrMoAn.ExDoOr,Patrologia Latina,11139,True,
Franciscus Andronicus Tranquillus Antonio Wrancio,1490-1571,"Andronicus, Parthenius Tranquillus",http://viaf.org/viaf/22294763,22294763,"early modern edition, no apparatus",László Szalay Gusztáv Wenzel,,,Prosinca 2010,,AndPar.FrAnWra,,13340,True,
Vita II S. Thomae Cantuariensis,,Rogerius de Pontiniaco,http://viaf.org/viaf/29887246,29887246,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 190",RoDePo.ViIiSTh,Patrologia Latina,11450,True,
Carmina,720-799,Paulus Diaconus,http://viaf.org/viaf/40174477,40174477,,Print edition by: Ernst Dümmler,Weidmann,Berlin,1881,,PauDia.Carmina,,15386,True,"['Genere: Poesia lirica', 'Tipo: Fonti Letterarie', 'Note: Parole: 5.673\r\nNumero caratteri (spazi esclusi): 32.342\r\nES', 'Livello di codifica: 1', 'Poesia codificata come prosa']"
Consultatio et supplicatio de baptismo Judaicorum mancipiorum,769-840,Agobardus Lugdunensis,http://viaf.org/viaf/268487135,268487135,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1851,"Patrologia Latina, vol. 104",AgoLug.CoEtSuD,Patrologia Latina,8771,True,
Fragmenta ex codicibus manuscriptis,,Auctores varii,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1851,"Patrologia Latina, vol. 99",AucVar.FrExCoM,Patrologia Latina,8650,True,
Excerpta ex libris Theodori Mopsuesteni,,Marius Mercator; Theodorus Mopsuestenus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1846,"Patrologia Latina, vol. 48",MaMeThM.ExExLiT,Patrologia Latina,7519,True,['XML corrections by Jan Ctibor in 2023: isolated heads moved to corresponding divs']
De natura et dignitate amoris,c.1085-c.1148,Guillelmus S. Theoderici,http://viaf.org/viaf/5724165,5724165,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 184",GuiAbb.DeNaEtD2,Patrologia Latina,11323,True,
Contra Felicem Urgellitanum,730-804,Alcuinus,http://viaf.org/viaf/96533523,96533523,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1851,"Patrologia Latina, vol. 101",Alcuin.CoFeUr2,Patrologia Latina,8690,True,
De geometria,940-1003,Gerbertus Auriliacensis,http://viaf.org/viaf/264422706,264422706,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 139",GerAur.DeGeo,Patrologia Latina,9786,True,
Epistola Joannis III,340-420,Hieronymus Stridonensis,http://viaf.org/viaf/95147024,95147024,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1846,"Patrologia Latina, vol. 29",HieStr.EpJoIi2,Patrologia Latina,7227,True,
Sermones,1128-1203,Alanus de Insulis,http://viaf.org/viaf/72187470,72187470,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1855,"Patrologia Latina, vol. 210",AlDeIn.Sermon53,Patrologia Latina,11767,True,['XML corrections by Jan Ctibor in 2023: isolated heads moved to corresponding divs']
Soliloquia,354-430,Augustinus Hipponensis,http://viaf.org/viaf/66806872,66806872,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1841,"Patrologia Latina, vol. 32",AugHip.Solilo,Patrologia Latina,7296,True,
Carmen de Christo,,Merobaudes Hispanus,http://viaf.org/viaf/29659929,29659929,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,,"Patrologia Latina, vol. 61",MerHis.CaDeCh,Patrologia Latina,7716,True,
Concio in concilio Francfordiensi,972-1024,Henricus II imperator,http://viaf.org/viaf/54940082,54940082,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 140",HeIiIm.CoInCoF,Patrologia Latina,9832,True,
Acta,fl. 997,Concilium Ravennatense,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 139",ConRav.Acta9,Patrologia Latina,9776,True,
Epistula ad Pentadium nepotem suum,fl.c.380,Vindicianus Afer,http://viaf.org/viaf/17614675,17614675,"based on critical edition, no apparatus, online edition",Correzione linguistica Chiara Miglietta,digilibLT,Vercelli,2016,digilibLT,VinAfe.EpPeNep,,14380,True,
Proslogion,1033-1109,Anselmus Cantuariensis,http://viaf.org/viaf/100187025,100187025,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 158",AnsCan.Proslo,,10631,True,
Sermones,1110-1184,Arnulfus Lexoviensis,http://viaf.org/viaf/93259877,93259877,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1855,"Patrologia Latina, vol. 201",ArnLex.Sermon47,Patrologia Latina,11601,True,
Hymnus de S. Benedicto,fl. 760,Cyprianus Cassinensis,http://viaf.org/viaf/181218160,181218160,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1850,"Patrologia Latina, vol. 89",CypCas.HyDeSBe,Patrologia Latina,8378,True,
Fragmentum acephalum de canone scripturarum,,Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1844,"Patrologia Latina, vol. 3",AucInc.FrAcDeC,Patrologia Latina,84,True,
Epistolae et privilegia,,Joannes XI,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 132",JoaXi.EpEtPr6,Patrologia Latina,9383,True,
Hymni in vigilia Maioli,c.962–c.1048,Odilo V Cluniacensis,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 142",OdVCl.HyInViM,Patrologia Latina,9956,True,['XML corrections by Jan Ctibor in 2023: isolated heads moved to corresponding divs']
Petrus Crusich comes Clissie et Lepoglave Clementi papae VII [1532-08-28],-1537,"Crusich, Petrus",,,"early modern edition, no apparatus",Bessenyei József,,,"Siječnja
                        2012",,CruPet.PeC0828,,13416,True,
Descriptio coemeteriorum SS. Martyrum,,Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1852,"Patrologia Latina, vol. 127",AucInc.DeCoSsM,Patrologia Latina,9276,True,
De conjugiis adulterinis,354-430,Augustinus Hipponensis,http://viaf.org/viaf/66806872,66806872,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1841,"Patrologia Latina, vol. 40",AugHip.DeCoAd,Patrologia Latina,7396,True,
Apologia adversus libros Rufini,340-420,Hieronymus Stridonensis,http://viaf.org/viaf/95147024,95147024,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1845,"Patrologia Latina, vol. 23",HieStr.ApAdLiR,Patrologia Latina,7150,True,
Corpus Scriptorum Ecclesiasticorum Latinorum (CSEL),,,,,,,University of Leipzig,Germany,2014,,,,14915,True,
Tarentina,1408-1487,"Malvezzi, Paracleto",http://viaf.org/viaf/316415577,316415577,"critical edition, apparatus not encoded","G. Martucci, 1899",,,,Musisque Deoque 2007,MalPar.Tare,,20301,True,
De laesione virginitatis,1070-1129,Rupertus Tuitiensis,http://viaf.org/viaf/200687519,200687519,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 170",RupTui.DeLaVi3,Patrologia Latina,10899,True,
Magdalenae Millaversiae (1543-07-20) 1543,1504-1573,"Verantius, Antonius",http://viaf.org/viaf/136422,136422,"early modern edition, no apparatus",László Szalay,,,Srpnja 2012,,VerAnt.MaMilla,,13371,True,
Corpus Scriptorum Ecclesiasticorum Latinorum (CSEL),,,,,,,University of Leipzig,Germany,2014,,,,14983,True,
Epigrammata,1304-1364,Barbato da Sulmona,http://viaf.org/viaf/34378929,34378929,"critical edition, apparatus not encoded","G. Papponetti, 1984",,,,Musisque Deoque 2007,BarSul.Epig,,20042,True,
Epistolae et privilegia,,Eugenius III,http://viaf.org/viaf/142614511,142614511,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1855,"Patrologia Latina, vol. 180",EugIii.EpEtPr30,Patrologia Latina,21399,True,['XML corrections by Jan Ctibor in 2023: isolated heads moved to corresponding divs']
Historia Societatis Jesu,1554-1606,"Orlandini, Nicola",http://viaf.org/viaf/2813152,2813152,early modern edition,,Bartholomaeus Zannetti,Roma,1615.,,OrlNic.HiSoJes,,13985,True,"['http://www.uni-mannheim.de/mateo/camenahist/hsj/', 't1', 'HSJ_1.html', 'as001.html', 'HSJ_1.xml', 't1/jpg', 'html']"
Liber Esther,-1117,Anselmus Laudunensis et schola; Glossa ordinaria,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1852,"Patrologia Latina, vol. 113",WalStr.LibEst2,Patrologia Latina,8948,True,
Johannes Sobotae Mapheo archiepiscopo Hyadrensi (1452-08-02) 1452,-1467,"Sobotae, Iohannes",,,"early modern edition, no apparatus",Luka Jelić,,,Prosinca 2010,,SobIoh.4520802,,13368,True,
Problemata Heloissae,1079–1142,Heloissa Praraelitensis; Petrus Abaelardus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1855,"Patrologia Latina, vol. 178",HePrPeA.ProHel,Patrologia Latina,11110,True,
Epistola ad Ceolfridum,,Sergius I,http://viaf.org/viaf/66823090,66823090,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1850,"Patrologia Latina, vol. 89",SerI.EpAdCe,Patrologia Latina,8393,True,
